b,b
d,d
dd,d
d,dj
g,dʒ
dg,dʒ
th,ð
f,f
g,ɡ
h,h
wh,hw
y,j
j,j
k,k
ck,k
l,l
l,lj
m,m
n,n
n,nj
ng,ŋ
n,ŋ
p,p
r,r
r,ɹ
s,s
ss,s
s,sj
sh,ʃ
t,t
t,tj
ch,tʃ
th,θ
th,θj
v,v
w,w
z,z
s,z
z,zj
s,ʒ
a,ɑː
ar,ɑːr
o,ɒ
or,ɒr
a,æ
arr,ær
ie,aɪ
ire,aɪər
ou,aʊ
ow,aʊ
our,aʊər
e,ɛ
err,ɛr
a,eɪ
are,ɛər
ar,ɛər
i,ɪ
irr,ɪr
ir,ɪr
ee,iː
i,iː
ear,ɪər
er,ɪər
oa,oʊ
or,ɔːr
oar,ɔːr
ough,ɔː
oi,ɔɪ
oir,ɔɪər
oo,ʊ
ou,ʊr
oo,uː
u,uː
our,ʊər
ure,ʊər
u,ʌ
u,ɐ
ur,ɜːr
urr,ʌr
a,ə
o,ə
er,ər
ar,ər
or,ər
i,ɪ
o,oʊ
ow,oʊ
y,i
i,i
ia,iə
u,u
ue,uə
le,əl
le,l̩
on,ən
on,n̩
m,əm
m,m̩
ch,x
-,ʔ
on,ɒ̃
an,ɒ̃
in,æ̃
ö,ɜː
