b,b
d,d
dd,d
d,dj
g,dʒ
dg,dʒ
th,ð
f,f
g,ɡ
h,h
wh,hw
y,j
j,j
k,k
ck,k
l,l
l,lj
m,m
n,n
n,nj
ng,ŋ
n,ŋ
p,p
r,r
r,ɹ
s,s
ss,s
s,sj
sh,ʃ
t,t
t,tj
ch,tʃ
th,θ
th,θj
v,v
w,w
z,z
s,z
z,zj
s,ʒ
a,ɑː
ar,ɑːr
o,ɒ
or,ɒr
a,æ
arr,ær
ie,aɪ
ire,aɪər
ou,aʊ
ow,aʊ
our,aʊər
e,ɛ
err,ɛr
a,eɪ
are,ɛər
ar,ɛər
i,ɪ
irr,ɪr
ir,ɪr
ee,iː
i,iː
ear,ɪər
er,ɪər
oa,oʊ
or,ɔːr
oar,ɔːr
ough,ɔː
oi,ɔɪ
oir,ɔɪər
oo,ʊ
ou,ʊr
oo,uː
u,uː
our,ʊər
ure,ʊər
u,ʌ
u,ɐ
ur,ɜːr
urr,ʌr
a,ə
o,ə
er,ər
ar,ər
or,ər
i,ɪ
o,oʊ
ow,oʊ
y,i
i,i
ia,iə
u,u
ue,uə
le,əl
le,l̩
on,ən
on,n̩
m,əm
m,m̩
ch,x
-,ʔ
on,ɒ̃
an,ɒ̃
in,æ̃
ö,ɜː
buy,baɪ
cab,kæb
dye,daɪ
cad,kæd
ladder,lædər
dew,dju
giant,dʒaɪənt
badge,bædʒ
thy,ðaɪ
breathe,bɹiːð
father,fɑːðɐ
find,faɪnd
leaf,liːf
guy,ɡaɪ
bag,bæɡ
high,haɪ
ahead,ɐhɛd
whine,waɪn
yes,jɛs
hallelujah,hælɪluːjɐ
kind,kaɪnd
sky,skaɪ
crack,kɹæk
lie,laɪ
ply,plaɪ
gal,ɡæl
lute,luːt
my,maɪ
smile,smaɪl
cam,kæm
nigh,naɪ
snide,snaɪd
can,kæn
new,njuː
sang,sæŋ
sink,sɪŋk
singer,sɪŋər
pie,paɪ
spy,spaɪ
cap,kæp
rye,ɹaɪ
try,tɹaɪ
very,vɛɹi
sigh,saɪ
mass,mæs
consume,kənsuːm
shy,ʃaɪ
cash,kæʃ
emotion,ɪmoʊʃən
tie,taɪ
sty,staɪ
cat,kæt
latter,lætɐ
tune,tjuːn
china,tʃˈaɪnɐ
catch,kætʃ
thigh,θaɪ
path,pæθ
enthuse,ɛnθjuːs
vie,vaɪ
leave,liːv
wine,waɪn
swine,swaɪn
zoo,zuː
has,hæz
zeus,zjus
pleasure,plɛʒɐ
beige,beɪʒ
loch,lɒx
chanukah,hɑːnəkə
uh-oh,ʌ-oʊ
möbius,mɜːbiəs
palm,pɑːm
bra,bɹɑː
start,stɑːt
lot,lɒt
blockade,blɒkˈeɪd
moral,mɒɹəl
trap,tɹæp
tattoo,tætuː
sang,sæŋ
marry,mæɹi
price,pɹaɪs
pie,paɪ
hire,haɪə
mouth,maʊð
how,haʊ
flour,flaʊə
dress,dɹɛs
prestige,pɹɛstiːʒ
length,lɛŋθ
merry,mɛɹi
face,feɪs
square,skwɛər
mary,mɛəri
kit,kɪt
historic,hɪstɒɹɪk
sing,sɪŋ
mirror,mɪɹɐ
sirius,sɪriəs
fleece,fliːs
pedigree,pɛdɪɡɹiː
idea,aɪdiə
near,niə
serious,siəɹɪəs
goat,ɡəʊt
force,fɔːs
hoarse,hɔːs
thought,θɔːt
north,nɔːθ
horse,hɔːs
choice,tʃɔɪs
coir,kwɑː
foot,fʊt
courier,kɜːɹɪɐ
goose,ɡuːs
cruel,kɹuːəl
tour,tɔː
cure,kjˈɔː
strut,stɹʌt
untidy,ʌntaɪdi
trustee,tɹʌstiː
sung,sʌŋ
nurse,nɜːs
blurry,blɜːɹi
urbane,ɜːbeɪn
foreword,fɔːwɜːd
hurry,hʌɹi
comma,kɒmɐ
abbot,æbət
bazaar,bɐzɑː
letter,lɛtɐ
forward,fɔːwəd
history,hɪstəɹi
rabbit,ɹæbɪt
bizarre,bɪzɑː
latin,lætn
motto,mɒtəʊ
retroactive,ɹɛtɹəʊæktɪv
follower,fɒləʊɐ
happy,hæpi
mediocre,miːdɪəʊkɐ
california,kæləfɔrnyə
fruition,fɹuːɪʃən
influence,ɪnfluːəns
bottle,bɒtəl
button,bʌtən
rhythm,ɹɪðəm
